weekday,month,day,callTime,callFrom,numberCalled,locationCalled,provinceCT,dayNightWeekend,callType,durationMinutes,durationSeconds
Mon,Jul,15,14:32,INCOMING,,HALIFAX,NS,WD,RBM,4,240
Tue,Jul,16,21:56,INCOMING,,HALIFAX,NS,NW,RBM,1,60
Tue,Jul,16,22:20,INCOMING,,HALIFAX,NS,NW,RBM,6,360
Wed,Jul,17,14:20,INCOMING,,HALIFAX,NS,WD,IRM,1,60
Thu,Jul,18,23:54,INCOMING,,HALIFAX,NS,NW,RBM,15,900
Fri,Jul,19,12:49,INCOMING,,HALIFAX,NS,WD,RBM,1,60
Fri,Jul,19,22:28,TORONTO,4163128531,TORONTO,ON,NW,MYO,1,60
Fri,Jul,19,22:39,TORONTO,4163128531,TORONTO,ON,NW,MYO,1,60
Sat,Jul,20,13:05,INCOMING,,TORONTO,ON,NW,INC,1,60
Sat,Jul,20,13:31,TORONTO,4166233401,TORONTO,ON,NW,MYO,1,60
Sat,Jul,20,13:33,TORONTO,8003973024,1-800 CALL,,NW,OUT,2,120
Sat,Jul,20,13:39,INCOMING,,TORONTO,ON,NW,INC,9,540
Mon,Jul,22,12:02,TORONTO,4168302082,TORONTO,ON,WD,MYO,1,60
Mon,Jul,22,12:36,TORONTO,4168302082,TORONTO,ON,WD,MYO,1,60
Mon,Jul,22,12:36,INCOMING,,TORONTO,ON,WD,MYI,10,600
Mon,Jul,22,13:37,TORONTO,6478857392,TORONTO,ON,WD,MYO,8,480
Mon,Jul,22,14:28,TORONTO,6478857392,TORONTO,ON,WD,MYO,5,300
Mon,Jul,22,20:40,INCOMING,,TORONTO,ON,NW,MYI,1,60
Tue,Jul,23,20:17,TORONTO,4163128531,TORONTO,ON,NW,MYO,1,60
Tue,Jul,23,20:38,TORONTO,4163128531,TORONTO,ON,NW,MYO,1,60
Tue,Jul,23,20:38,TORONTO,4164259292,TORONTO,ON,NW,OUT,1,60
Tue,Jul,23,21:08,INCOMING,,TORONTO,ON,NW,MYI,2,120
Wed,Jul,24,12:16,TORONTO,4167292665,TORONTO,ON,WD,OUT,9,540
Wed,Jul,24,16:00,TORONTO,4168302082,TORONTO,ON,WD,MYO,1,60
Wed,Jul,24,16:00,TORONTO,4168302082,TORONTO,ON,WD,MYO,1,60
Wed,Jul,24,16:15,TORONTO,4168302082,TORONTO,ON,WD,MYO,1,60
Wed,Jul,24,16:32,TORONTO,4168302082,TORONTO,ON,WD,MYO,1,60
Wed,Jul,24,16:38,INCOMING,,TORONTO,ON,WD,INC,1,60
Wed,Jul,24,18:19,INCOMING,,TORONTO,ON,NW,MYI,4,240
Thu,Jul,25,18:29,TORONTO,4168302082,TORONTO,ON,NW,MYO,1,60
Thu,Jul,25,19:09,TORONTO,6478857392,TORONTO,ON,NW,MYO,1,60
